Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/kinetic_text_tags.rpy	1	"[what]"
day7_214d5d3c	n	You enter back into your room and lay down in your bed.	game/story/weekend/sunday.rpy	4	n "[what]"
day7_a8d8a61b	n	You set the wakeup time for 11:00, and lay down.	game/story/weekend/sunday.rpy	5	n "[what]"
day6stayend_6031efbf	n	You decide to stay in.	game/story/weekend/sunday.rpy	11	n "[what]"
day6stayend_b758f213	n	You read, sleep a little, and go through your paperwork a few times.	game/story/weekend/sunday.rpy	12	n "[what]"
day6stayend_51d0a318	n	It's generally fairly boring.	game/story/weekend/sunday.rpy	13	n "[what]"
day6stayend_c93ccb35	n	Eventually, the time comes to go to bed.	game/story/weekend/sunday.rpy	14	n "[what]"
day6stayend_a8d8a61b	n	You set the wakeup time for 11:00, and lay down.	game/story/weekend/sunday.rpy	15	n "[what]"
day7cont_296ea95c	n	You wake up to a knocking on your door.	game/story/weekend/sunday.rpy	30	n "[what]"
day7cont_679ddc9c	ac	Disruption detected. Automatic waking sequence initiated.	game/story/weekend/sunday.rpy	31	ac "[what]"
day7cont_968aed9a	n	You groan and lean over. The clock reads 09:43.	game/story/weekend/sunday.rpy	32	n "[what]"
day7cont_537877fe	mc	Who could possibly...	game/story/weekend/sunday.rpy	33	mc "[what]"
day7cont_a2543a3c	n	The knocking continues.	game/story/weekend/sunday.rpy	34	n "[what]"
day7cont_29bd5009	n	You get up, go over to the door, and open it with a sigh.	game/story/weekend/sunday.rpy	35	n "[what]"
day7cont_d373cf16	n	Miss Esther greets you.	game/story/weekend/sunday.rpy	38	n "[what]"
day7cont_1b1cfeec	e	Doctor! Doctor, so sorry to wake you.	game/story/weekend/sunday.rpy	39	e "[what]"
day7cont_55eec050	mc	...Miss Esther? What are you doing here?	game/story/weekend/sunday.rpy	41	mc "[what]"
day7cont_96aabbe2	e	Oh yes, I'm sorry - I was just wondering if you'd be interested in a day out with me?	game/story/weekend/sunday.rpy	44	e "[what]"
day7cont_267194d5	e	Nothing terribly formal, simply an invite from a friend.	game/story/weekend/sunday.rpy	46	e "[what]"
day7cont_11fdb519	extend		game/story/weekend/sunday.rpy	49	extend "[what]" nointeract
day7esther_2cd752ec	e	Oh! Yes. Sorry, sorry.	game/story/weekend/sunday.rpy	57	e "[what]"
